File,Binoculars,GPTZero,Fast-DetectGPT,Date/Category
ubyssey_2022_0,HUMAN,HUMAN,HUMAN,2022/Colleges
ubyssey_2022_1,HUMAN,HUMAN,HUMAN,2022/Colleges
ubyssey_2022_2,HUMAN,HUMAN,HUMAN,2022/Colleges
ubyssey_2022_3,HUMAN,HUMAN,HUMAN,2022/Colleges
ubyssey_2022_4,HUMAN,HUMAN,HUMAN,2022/Colleges
ubyssey_2022_5,HUMAN,HUMAN,HUMAN,2022/Colleges
ubyssey_2022_6,HUMAN,HUMAN,AI,2022/Colleges
ubyssey_2022_7,HUMAN,HUMAN,HUMAN,2022/Colleges
ubyssey_2022_8,HUMAN,HUMAN,HUMAN,2022/Colleges
ubyssey_2022_9,HUMAN,HUMAN,HUMAN,2022/Colleges
ubyssey_2022_10,HUMAN,HUMAN,HUMAN,2022/Colleges
ubyssey_2022_11,HUMAN,HUMAN,HUMAN,2022/Colleges
ubyssey_2022_12,HUMAN,HUMAN,HUMAN,2022/Colleges
ubyssey_2022_13,HUMAN,HUMAN,HUMAN,2022/Colleges
ubyssey_2022_14,HUMAN,HUMAN,HUMAN,2022/Colleges
ubyssey_2022_15,HUMAN,HUMAN,HUMAN,2022/Colleges
ubyssey_2022_16,HUMAN,HUMAN,HUMAN,2022/Colleges
ubyssey_2022_17,HUMAN,HUMAN,HUMAN,2022/Colleges
ubyssey_2022_18,HUMAN,HUMAN,HUMAN,2022/Colleges
ubyssey_2022_19,HUMAN,HUMAN,HUMAN,2022/Colleges
ubyssey_2022_20,HUMAN,HUMAN,HUMAN,2022/Colleges
ubyssey_2022_21,HUMAN,HUMAN,HUMAN,2022/Colleges
ubyssey_2022_22,HUMAN,HUMAN,HUMAN,2022/Colleges
ubyssey_2022_23,HUMAN,HUMAN,HUMAN,2022/Colleges
ubyssey_2022_24,HUMAN,HUMAN,HUMAN,2022/Colleges
ubyssey_2022_25,HUMAN,HUMAN,HUMAN,2022/Colleges
ubyssey_2022_26,HUMAN,HUMAN,HUMAN,2022/Colleges
ubyssey_2022_27,HUMAN,HUMAN,HUMAN,2022/Colleges
ubyssey_2022_28,HUMAN,HUMAN,HUMAN,2022/Colleges
ubyssey_2022_29,HUMAN,HUMAN,AI,2022/Colleges
