Link,Score,Prediction
https://www.hawaiitribune-herald.com/2020/12/31/opinion/justice-for-lockerbie/,1.0253164768218994,Most likely human-generated
https://www.hawaiitribune-herald.com/2020/12/29/opinion/your-views-for-december-29-7/,0.9841269850730896,Most likely human-generated
https://www.hawaiitribune-herald.com/2020/12/28/opinion/your-views-for-december-28-7/,1.0342856645584106,Most likely human-generated
https://www.hawaiitribune-herald.com/2020/12/28/opinion/rainy-side-view-eager-to-say-goodbye-to-2020/,1.021276593208313,Most likely human-generated
https://www.hawaiitribune-herald.com/2020/12/27/opinion/obama-center-four-years-five-months-and-counting-time-to-break-ground/,0.9740259647369385,Most likely human-generated
https://www.hawaiitribune-herald.com/2020/12/27/opinion/my-father-has-covid-19-and-is-captive-in-a-nursing-home-i-dream-of-breaking-him-out/,0.9488636255264282,Most likely human-generated
https://www.hawaiitribune-herald.com/2020/12/26/opinion/duncan-hunter-doesnt-deserve-a-pardon/,0.9696969985961914,Most likely human-generated
https://www.hawaiitribune-herald.com/2020/12/26/opinion/a-crooked-christmas-tree-for-a-crooked-year/,1.018072247505188,Most likely human-generated
https://www.hawaiitribune-herald.com/2020/12/25/opinion/your-views-for-december-25-6/,1.0761420726776123,Most likely human-generated
https://www.hawaiitribune-herald.com/2020/12/31/opinion/your-views-for-december-31-2/,0.9468085169792175,Most likely human-generated
https://www.hawaiitribune-herald.com/2020/12/25/opinion/how-the-biden-administration-can-help-get-the-us-vaccinated/,1.0296295881271362,Most likely human-generated
https://www.hawaiitribune-herald.com/2020/12/25/opinion/this-holiday-season-resolve-to-help-moms-and-dads/,1.0120482444763184,Most likely human-generated
https://www.hawaiitribune-herald.com/2020/12/24/opinion/save-the-monarch/,1.0231213569641113,Most likely human-generated
https://www.hawaiitribune-herald.com/2020/12/24/opinion/how-we-can-learn-our-way-out-of-the-pandemic/,0.95652174949646,Most likely human-generated
https://www.hawaiitribune-herald.com/2020/12/23/opinion/cartoon-for-december-23-9/,1.0584795475006104,Most likely human-generated
https://www.hawaiitribune-herald.com/2020/12/23/opinion/russias-cyberattack-no-small-thing/,1.0,Most likely human-generated
https://www.hawaiitribune-herald.com/2020/12/23/opinion/fiscal-stimulus-please-sir-i-want-some-more/,1.0113636255264282,Most likely human-generated
https://www.hawaiitribune-herald.com/2020/12/22/opinion/your-views-for-december-22-7/,0.9375,Most likely human-generated
https://www.hawaiitribune-herald.com/2020/12/22/opinion/supreme-court-shouldnt-have-punted-on-trumps-census-order/,0.970588207244873,Most likely human-generated
https://www.hawaiitribune-herald.com/2020/12/22/opinion/how-biden-can-support-an-arab-spring-redo/,0.9459459185600281,Most likely human-generated
https://www.hawaiitribune-herald.com/2020/12/20/opinion/a-low-point-in-political-civility/,0.9507042169570923,Most likely human-generated
https://www.hawaiitribune-herald.com/2020/12/20/opinion/the-legacy-of-the-sakadas-in-hawaii/,1.034482717514038,Most likely human-generated
https://www.hawaiitribune-herald.com/2020/12/20/opinion/irwin-the-planets-align-in-hilo/,1.0,Most likely human-generated
https://www.hawaiitribune-herald.com/2020/12/20/opinion/cartoon-for-december-20-8/,1.077380895614624,Most likely human-generated
https://www.hawaiitribune-herald.com/2020/12/19/opinion/end-the-federal-barrier-to-researching-marijuana/,1.0591715574264526,Most likely human-generated
https://www.hawaiitribune-herald.com/2020/12/19/opinion/education-in-a-time-of-pandemic-not-making-the-grade/,1.0472972393035889,Most likely human-generated
https://www.hawaiitribune-herald.com/2020/12/18/opinion/good-riddance-to-william-barr/,1.0067567825317383,Most likely human-generated
https://www.hawaiitribune-herald.com/2020/12/18/opinion/your-views-for-december-18-5/,1.0166666507720947,Most likely human-generated
https://www.hawaiitribune-herald.com/2020/12/18/opinion/biden-team-must-tackle-climate/,0.976047933101654,Most likely human-generated
https://www.hawaiitribune-herald.com/2020/12/30/opinion/a-progressive-wish-list-for-2021/,0.9424460530281067,Most likely human-generated
