Link,Score,Prediction
"Opinion | If Roe is Overturned, Democracy Could Be the Best Path Forward on Abortion",0.9874213933944702,Most likely human-generated
Opinion | Republicans Are Moving Rapidly to Cement Minority Rule. Blame the Constitution.,0.9937499761581421,Most likely human-generated
Opinion | Nick Kristof Just Destroyed His Own Brand. He's Also Right.,1.0,Most likely human-generated
Opinion | It's Time to Amend the Constitution,0.988095223903656,Most likely human-generated
Opinion | How a Simple Twist of Fate Could End Democrats' Control of the Senate,0.955974817276001,Most likely human-generated
Opinion | How Democrats Can Pick a Better Presidential Nominee,0.957317054271698,Most likely human-generated
Opinion | How School Closures Made Me Question My Progressive Politics,0.983146071434021,Most likely human-generated
Opinion | The Unorthodox Weapon We Need to Defend Democracy,0.9689440727233887,Most likely human-generated
Opinion | Why Voting Rights Isn't (Usually) Bipartisan,1.0304877758026123,Most likely human-generated
Opinion | What Does the DOJ's New Jan. 6 Sedition Indictment Mean for Trump?,0.95652174949646,Most likely human-generated
Opinion | Don't Pack the Court. Allow the Number of Justices to Float.,1.0484848022460938,Most likely human-generated
Opinion | When a National Unity Government Really Worked - And Why It Can't Happen Now,0.9935897588729858,Most likely human-generated
Opinion | What I Learned When I Tried to Close Guantanamo,0.9482758641242981,Most likely human-generated
Opinion | Where MLK's Vision Is Starting to Be Realized,1.022099494934082,Most likely human-generated
Opinion | Is the New York Attorney General Closing In on Trump ?,0.9930555820465088,Most likely human-generated
Opinion | Why the Free Covid Test Website Was Such a Shock,1.0,Most likely human-generated
Opinion | The Russia Sanctions That Could Actually Stop Putin,0.9506173133850098,Most likely human-generated
Opinion | Why Trump Is Headed for the Ditch Once Again,1.0611110925674438,Most likely human-generated
Opinion | Your Newspaper's Not Making Money? Make It Permanent as a Nonprofit!,0.9726775884628296,Most likely human-generated
Opinion | Your Newspaper's Not Making Money? Make It Permanent as a Nonprofit!,0.9726775884628296,Most likely human-generated
Opinion | Breyer's Legacy: Shaping the Law for the Real World,0.9407894611358643,Most likely human-generated
Opinion | Democrats Have No Reason to Worry About Biden's SCOTUS Pick,0.9476743936538696,Most likely human-generated
Opinion | How Biden Can Use the Ocean to Fight Climate Change,0.9808917045593262,Most likely human-generated
Opinion | The DOJ Needs to Do Much Better on Corporate Crime,0.9585798978805542,Most likely human-generated
Opinion | Let's Be Real: The Supreme Court Is Political and Always Has Been.,1.0,Most likely human-generated
Opinion | The Dangerous Appeal of Neil Young's Righteous Censorship,0.9944444298744202,Most likely human-generated
Opinion | The Dangerous Appeal of Neil Young's Righteous Censorship,1.0,Most likely human-generated
Opinion | Tucker Carlson Has Become Obsessed With Hungary . Here's What He Doesn't Understand.,0.9696969985961914,Most likely human-generated
Opinion | Why the Donbass is the Key to Putin's Gambit in Ukraine,0.9624999761581421,Most likely human-generated
Opinion | Democrats With a Dirty Secret - They Watch Fox,1.0606060028076172,Most likely human-generated
Opinion | Why Conservatives Should Be Eager to Deter Putin on Ukraine,0.9715909361839294,Most likely human-generated
"Opinion | On Pardons, Trump Is Flipping the Founders' Vision on its Head",1.0064934492111206,Most likely human-generated
Opinion | Biden Just Took Out ISIS' Top Leader. What's Next?,0.9798657894134521,Most likely human-generated
Opinion | The New York Times Is Becoming Amazon . And That's a Good Thing.,0.9790576100349426,Most likely human-generated
"Opinion | Sorry, Mr. Putin. Ukraine and Russia are Not the Same Country.",0.976047933101654,Most likely human-generated
Opinion | Political TV Shows Have Never Been Worse. Sitcoms Are the Exception.,0.9659090638160706,Most likely human-generated
Opinion | The World Is Sliding Toward Authoritarianism. So Are the Olympics.,0.9509202241897583,Most likely human-generated
Opinion | A Bold Idea for Biden's Supreme Court Nominee,1.0387096405029297,Most likely human-generated
Opinion | How the Right Learned to Love Saul Alinsky,0.9888888597488403,Most likely human-generated
Opinion | Putin Has a Big Piece of Leverage Over Europe. Here's How to Take It Away.,0.9342105388641357,Most likely human-generated
Opinion | How to End the Ukraine Crisis in 4 Steps,0.9567901492118835,Most likely human-generated
Opinion | How Trump Flushed the Presidential Honor System Down the Toilet,1.0111111402511597,Most likely human-generated
Opinion | Why Biden Should Pick a Scalia to Replace a Breyer,1.0119047164916992,Most likely human-generated
Opinion | Listen to the Canadian Truckers,0.9661017060279846,Most likely human-generated
Opinion | The Nixon I Saw in the Final Days of the 1968 Campaign,0.9277108311653137,Most likely human-generated
Opinion | How the West Gets Ukraine Wrong - and Helps Putin As a Result,0.9826589822769165,Most likely human-generated
Opinion | How Trump Flushed the Presidential Honor System Down the Toilet,1.0111111402511597,Most likely human-generated
Opinion | The Covid Emergency Is Ending. Here's What We Should Do Next.,1.010471224784851,Most likely human-generated
Opinion | The Ugly Truth Behind All Those Fun Gambling Ads,0.9718309640884399,Most likely human-generated
Opinion | Why Democrats Shouldn't Say the Midterms Will Be Illegitimate,1.0301204919815063,Most likely human-generated
"Opinion | Okay, President Biden, You're a Wise Guy",0.9941520690917969,Most likely human-generated
Opinion | How Canadian Truckers Brought Peace to the GOP's Warring Tribes,0.9893617033958435,Most likely human-generated
Opinion | What the Pundits Get Wrong About Biden's Presidency,1.0284091234207153,Most likely human-generated
Opinion | The Speech In Which Putin Told Us Who He Was,0.9397590160369873,Most likely human-generated
"Opinion | Negotiating With Iran Isn't Working, But Biden Has a Better Option",0.9741935729980469,Most likely human-generated
Opinion | The Speech In Which Putin Told Us Who He Was,0.9397590160369873,Most likely human-generated
Opinion | 'I Applied for Asylum Within American Pop Culture',1.0360825061798096,Most likely human-generated
Opinion | How Donald Trump Played Himself,0.9610389471054077,Most likely human-generated
Opinion | Putin Isn't Just an Autocrat. He's Something Worse.,0.9867549538612366,Most likely human-generated
