Link,Score,Prediction
Opinion | Biden Wants to Boost Democracy. He Should Shelve the Summit and Look to Europe.,0.9696969985961914,Most likely human-generated
Opinion | Trump Takes Revenge on Pence's Big Day,1.0306748151779175,Most likely human-generated
Opinion | Trump Takes Revenge on Pence's Big Day,1.024539828300476,Most likely human-generated
Opinion | Trump Still Has His Finger on the Nuclear Button. This Must Change.,0.9312499761581421,Most likely human-generated
Opinion | How Simon & Schuster Managed to Make Josh Hawley Look Almost Sympathetic,1.0632911920547485,Most likely human-generated
Opinion | Democrats Are Pursuing the Wrong Impeachment Charges Against President Trump,0.9938650131225586,Most likely human-generated
Opinion | Trump Media Empire? Don't Bet on It.,1.0055248737335205,Most likely human-generated
"Opinion | Yes, It Was a Coup. Here's Why.",0.9724137783050537,Most likely human-generated
"Opinion | Yes, It Was a Coup Attempt. Here's Why.",0.9724137783050537,Most likely human-generated
Opinion | We Mock the Rioters as Ignorant Buffoons at Our Peril,1.034482717514038,Most likely human-generated
Opinion | The Crash of the Flight 93 Presidency,1.0164835453033447,Most likely human-generated
Opinion | We Mock the Rioters as Ignorant Buffoons at Our Peril,1.034482717514038,Most likely human-generated
Opinion | Trump's Incitement Was Not 'Free Speech',0.9885057210922241,Most likely human-generated
Opinion | A Reaganesque Scheme for a GOP Reboot,1.0060606002807617,Most likely human-generated
Opinion | I Wrote President Obama's Ethics Plan-Biden's Is Better,1.017045497894287,Most likely human-generated
"Opinion | No, There Won't Be Unity",0.9649122953414917,Most likely human-generated
"Opinion | How About a Little Sobriety, Please?",1.0099502801895142,Most likely human-generated
Opinion | Trump Showed How Easily Presidents Can Abuse Emergency Powers. Here's How Congress Can Rein Them In.,0.905063271522522,Most likely human-generated
Opinion | How To Calm America 's Hundred-Year Storm,1.0112359523773193,Most likely human-generated
Opinion | Unemployment Is Much Worse Than You Think - Here's Why.,1.0074074268341064,Most likely human-generated
"Opinion | To Counter China's Rise, the U.S. Should Focus on Xi",1.0240963697433472,Most likely human-generated
Opinion | Congress Bows to the Pen and Phone,0.9871794581413269,Most likely human-generated
Opinion | Expelling Marjorie Taylor Greene Is Just Crazy Talk,0.988304078578949,Most likely human-generated
Opinion | Republicans Are Giving Rogue Presidents a Pass by Redefining Impeachment,0.9548386931419373,Most likely human-generated
Opinion | Congress Still Has One More Way to Ban Trump from Future Office,1.0073529481887817,Most likely human-generated
Opinion | Why the New START Extension Could Be the End of Arms Control as We Know It,0.9236111044883728,Most likely human-generated
Opinion | We Sued Trump for Emoluments Violations. That Fight's Just Getting Started.,1.0258064270019531,Most likely human-generated
Opinion | Witnesses Could Prevent a Foregone Conclusion in Second Impeachment Trial,0.9644970297813416,Most likely human-generated
Opinion | Will Biden's Tax Plan Discourage Work? We Already Know the Answer.,1.0264900922775269,Most likely human-generated
Opinion | Reopening Schools Has Become a Bipartisan Issue. Why Isn't Biden Pushing Harder?,0.970588207244873,Most likely human-generated
Opinion | Joe Biden's Secret Weapon for Resetting Iran Policy,0.9230769276618958,Most likely human-generated
Opinion | Iran Just Handed Biden His First Credibility Test,1.0198675394058228,Most likely human-generated
Opinion | Pelosi's 9/11-Style Commission Doesn't Go Far Enough,0.9624999761581421,Most likely human-generated
Opinion | Why Are American Conservatives Siding With the Royal Family?,0.9837837815284729,Most likely human-generated
Opinion | The Hard Truth About Memorializing the Pandemic,0.953125,Most likely human-generated
Opinion | How Biden Will End the Trump Sugar High for Israel and Saudi Arabia,0.9539473652839661,Most likely human-generated
Opinion | The Hard Truth About Memorializing the Pandemic,0.953125,Most likely human-generated
Opinion | The U.S. Has the Power to Tamp Down Coronavirus Variants - If We're Willing to Use It,0.9934640526771545,Most likely human-generated
Opinion | How Biden Is Setting Himself Apart From Trump-and Obama-in the Middle East,0.9757575988769531,Most likely human-generated
Opinion | Biden's Unnecessary Border Crisis,0.9874213933944702,Most likely human-generated
"Opinion | Confront Dr. Seuss' Racism, Don't Cancel It",1.047619104385376,Most likely human-generated
"Opinion | With No Votes to Spare, Biden Gets a Win Obama and Clinton Would Have Envied",0.9518072009086609,Most likely human-generated
Opinion | Nursing homes need fixing. Here's where to start.,0.9599999785423279,Most likely human-generated
Opinion | Meghan and Harry Will Never Be This Interesting Again,1.021276593208313,Most likely human-generated
Opinion | Why Ted Cruz and Tom Cotton Are Like Trump Cover Bands,1.0,Most likely human-generated
"Opinion | Biden's Covid Relief Bill Might Be Good Politics, But It's Bad Policy",0.9683544039726257,Most likely human-generated
Opinion | Why Ted Cruz and Tom Cotton Are Like Trump Cover Bands,1.0,Most likely human-generated
Opinion | Biden's No. 1 Task in Cuba ? Find Out What Happened in Havana.,0.9675324559211731,Most likely human-generated
Opinion | The Political Weapon Biden Didn't Deploy,0.9696969985961914,Most likely human-generated
Opinion | What the Rest of America Can Learn From My Experience Being Black in Trumpland,1.0051813125610352,Most likely human-generated
Opinion | Could Putin Launch Another Invasion?,1.0285714864730835,Most likely human-generated
Opinion | The Political Weapon Biden Didn't Deploy,0.9636363387107849,Most likely human-generated
Opinion | Democrats Would Regret Nuking the Filibuster,1.0392156839370728,Most likely human-generated
Opinion | Why Biden Waited So Long to Throw the Press a Bone,1.018072247505188,Most likely human-generated
Opinion | What Andrew Cuomo's Survival (So Far) Says About New York,0.9938650131225586,Most likely human-generated
Opinion | Why Trump's White House Leaked and Biden's Hasn't,0.9675675630569458,Most likely human-generated
Opinion | Why Are Democrats Following Trump's Post-Election Playbook?,1.0596026182174683,Most likely human-generated
Opinion | How Biden Became the Dollar Sign President,1.0240963697433472,Most likely human-generated
Opinion | 6 Bold Ideas for Gun Reform That Could Actually Happen,0.9810126423835754,Most likely human-generated
Opinion | The Supreme Court Isn't as Conservative as You Think,1.0506329536437988,Most likely human-generated
Opinion | Why Baseball Should Keep the All-Star Game in Georgia,1.0119047164916992,Most likely human-generated
Opinion | What About the Cops Who Watched George Floyd Die?,1.0,Most likely human-generated
Opinion | Ron DeSantis Is What the Post-Trump GOP Should Look Like,0.9764705896377563,Most likely human-generated
"Opinion | No, the GOP and the Dems Haven't Actually Swapped Brains",0.9450549483299255,Most likely human-generated
Opinion | Television's Trumpiest New Show,0.9725274443626404,Most likely human-generated
Opinion | Television's Trumpiest New Show,0.9670329689979553,Most likely human-generated
Opinion | Giuliani 's Legal Trouble Is Trump's Too,0.9620253443717957,Most likely human-generated
Opinion | A Post-Filibuster World Would Be a Nightmare for Progressives,0.9677419066429138,Most likely human-generated
Opinion | Biden's Expensive New Problem in Afghanistan,0.9746835231781006,Most likely human-generated
Opinion | The Real Reason Republicans Want to Oust Liz Cheney,0.9567901492118835,Most likely human-generated
Opinion | How the Supreme Court Helped Create 'Driving While Black',0.9750000238418579,Most likely human-generated
Opinion | There's a Big Gap in Our Cyber Defenses. Here's How to Close It.,1.0224719047546387,Most likely human-generated
Opinion | The Empty Vessel of Matthew McConaughey,0.9351351261138916,Most likely human-generated
Opinion | Will a Boycott Knock Tucker Off the Air? Don't Count on It.,1.006250023841858,Most likely human-generated
Opinion | Why Biden's Climate Summit Is Overhyped,1.0,Most likely human-generated
Opinion | Why Gun Control Is Now a Matter of National Security,1.0393258333206177,Most likely human-generated
Opinion | Have We Really Come That Far Since Rodney King?,0.9879518151283264,Most likely human-generated
"Opinion | We Got Afghanistan Wrong, but There's Still Time to Learn Something",1.0173410177230835,Most likely human-generated
Opinion | How Republicans Lost Interest in Fighting Big Spending,1.0060241222381592,Most likely human-generated
Opinion | The Real Reason the Times Has Quit Using the Term 'Op-Ed',0.9777777791023254,Most likely human-generated
Opinion | Has Tucker Deposed Trump as the Troller in Chief?,0.984375,Most likely human-generated
Opinion | Has Tucker Deposed Trump as the Troller in Chief?,0.9738219976425171,Most likely human-generated
Opinion | Why America 's Next Covid Push Should Be Outside America,0.9192546606063843,Most likely human-generated
Opinion | The Sweet Smell of Government Overreach,0.9890109896659851,Most likely human-generated
"Opinion | Paul Ryan, It's Time for You to Stand Up to Fox",0.976190447807312,Most likely human-generated
Opinion | Giuliani 's Legal Trouble Is Trump's Too,0.9620253443717957,Most likely human-generated
Opinion | Facebook 's Speech Policies Are Even More Arbitrary Than We Thought,0.9939393997192383,Most likely human-generated
Opinion | Facebook 's Speech Policies Are Even More Arbitrary Than We Thought,1.0,Most likely human-generated
Opinion | Facebook Thought It Was Solving a Problem. It Just Got Handed A Bigger One.,1.0121212005615234,Most likely human-generated
Opinion | The U.S. Still Has Leverage In Afghanistan . Here's How to Keep It,1.0,Most likely human-generated
Opinion | Sally Buzbee Can Do What Her Male Predecessors Never Figured Out,1.0,Most likely human-generated
Opinion | How Trump Hurts GOP Populism,0.9768785834312439,Most likely human-generated
Opinion | A GOP Civil War? Don't Bet On It.,0.994350254535675,Most likely human-generated
Opinion | Why a Republican Trans Candidate Is Good for Trans People,1.0124223232269287,Most likely human-generated
Opinion | How Many 'Special Envoys' Does Joe Biden Need?,1.0126582384109497,Most likely human-generated
Opinion | How Biden Can Be a Leader in an Israeli - Palestinian Conflict That Has None,0.9604519605636597,Most likely human-generated
