File,label,score
GA_2021_419b1cb4f21c37995a6104ddefe48671.html.gz,AI,0.6222025765587074
GA_2021_39b5db33c9d4d0788fd9fe551609053d.html.gz,HUMAN,0.2512657439486982
GA_2021_539e26a7ef78c87d23943f7071fefaeb.html.gz,HUMAN,0.18821768148863008
GA_2021_2c93b048271ca167af004a5f713968dc.html.gz,HUMAN,0.3555286102309727
GA_2021_0ec209b0f7a16815b47de3d3c530ad4a.html.gz,AI,0.9355493161805419
GA_2021_62ee2956d5b19fbda51bf54ca3dceb3a.html.gz,HUMAN,0.2434328524503596
GA_2021_67e66de44c0b9e498ddc9b1a835d42f4.html.gz,HUMAN,0.21542351674300828
GA_2021_868d2b6250c5671dae098b2076f3ea50.html.gz,HUMAN,0.2764971926808825
GA_2021_6f2cd74e2ce96d7ebd541f7c6b270f20.html.gz,AI,0.9999896089692619
GA_2021_7c763614f5a1422ddb126c6620ff6c0a.html.gz,HUMAN,0.1880779104453967
GA_2021_939bc3047371bd3debc0319394791dd6.html.gz,HUMAN,0.45096179516138657
GA_2021_bcfb7f9cd5ff9713753389c9fccdf7c5.html.gz,HUMAN,0.20810261180113315
GA_2021_96e6e3c9de84a4b230d8fb91b48702a2.html.gz,HUMAN,0.18913664208240324
GA_2021_a47a614a52c404d59c9a588b1b2823b6.html.gz,AI,0.5414361713356377
GA_2021_886353ef34267c909964b5f3382311f3.html.gz,HUMAN,0.29674214618488437
GA_2021_c48b0447e57f32eb60e9b5ab005c7bcf.html.gz,HUMAN,0.1957065505454827
GA_2021_f08c9afbe80f234c5ddbe8bde7e63ca5.html.gz,AI,0.842648385241541
