File,label,score
IL_2024_0500046d3665216c8b6a19ee3765e4e1.html.gz,HUMAN,0.24054858289602432
IL_2024_05ad1cc2febf91076c2dd46078e1d10a.html.gz,HUMAN,0.1968097034248326
IL_2024_0698362dc39ab050293d74400af2f144.html.gz,HUMAN,0.18836410176433235
IL_2024_076cc35b69ac0398edfd2c2962d73738.html.gz,HUMAN,0.19993089256654684
IL_2024_09f5260c367634372bc925a75b29a470.html.gz,HUMAN,0.18798326209754226
IL_2024_0ad19e1f6c49638029d36359ffb9813a.html.gz,HUMAN,0.19250052691280986
IL_2024_1047c4b815a6dbd0469a2c790bbf35e9.html.gz,HUMAN,0.3509484967381079
IL_2024_0f5be1e9c138342f02ad8d9a6e1287ba.html.gz,HUMAN,0.3735578886363057
IL_2024_0e63cc495a484494d7d040576b9cdf30.html.gz,HUMAN,0.18762224663174562
IL_2024_11312413637b3bf25ee6f0435d1fcb1a.html.gz,AI,0.659083822896062
IL_2024_10bff65f0c57bb441977f0f0b0494c40.html.gz,HUMAN,0.19298626772174496
IL_2024_117a4e6ba03f7c16d1789a5a3a8fb4de.html.gz,HUMAN,0.18779026770313018
IL_2024_13db3a4bb46c5e1707e10b679ffa176a.html.gz,HUMAN,0.33812252343825516
IL_2024_150dee882d64539f43e6898316557b31.html.gz,AI,0.5057229004945298
IL_2024_14c6b199da38e427a751ce001e6f9ddb.html.gz,HUMAN,0.20861020949376058
IL_2024_1809e6bd76b5c36a7b28bb8630f9bd5d.html.gz,HUMAN,0.35734930256212344
IL_2024_1a58c0564c0fa8aeec6c4b0f16d2c479.html.gz,AI,0.919431094982487
IL_2024_192dddc3bcbf0e91ff41acc6192c09e0.html.gz,HUMAN,0.2002309547799854
IL_2024_1d36d396c79c392979f4090bf6dad966.html.gz,HUMAN,0.2946504287728383
IL_2024_1ccddde0b6177df58c09cd57771c20a7.html.gz,HUMAN,0.19010160012648977
IL_2024_20006628c1c1f88d685e579f4d977fd1.html.gz,HUMAN,0.18878258717141125
IL_2024_204f6fd078c7d7e4a3770d2e71e19540.html.gz,HUMAN,0.4416765955076345
IL_2024_21c73a32ad923a42c16541fee38acc9d.html.gz,AI,0.9998366567108093
IL_2024_2273520a5ea7b5c763036573598aa7a1.html.gz,HUMAN,0.20144077181395295
IL_2024_26f0f552f29dc54c1e6ac3a668689d23.html.gz,HUMAN,0.1932546669085618
IL_2024_24cc314491b997231349e42c07ab5f24.html.gz,AI,0.9966610977536835
IL_2024_27a75097c3869d0acb321baa34aff526.html.gz,HUMAN,0.18776127109747856
IL_2024_303114c8188576715cf9d1fa07fc89bc.html.gz,HUMAN,0.19063282082926514
IL_2024_2d26703e68c61c5cfca72c478070759d.html.gz,HUMAN,0.20825047385171425
IL_2024_313ee6a2600ecd24ea9beb26f739f5b0.html.gz,HUMAN,0.2755085381304221
IL_2024_321f0e5e88c995b5b6f5c5aca823412d.html.gz,HUMAN,0.2867756498523057
IL_2024_3349e2908d0582bcffa8cb5dd9bff2c8.html.gz,HUMAN,0.20129310756631927
IL_2024_32adc43c411835f2ef0c2025cdb85ccc.html.gz,HUMAN,0.22842598617120885
IL_2024_348697c958b2870ae7536561a2ea2d3f.html.gz,HUMAN,0.42681309039319726
IL_2024_3357ce6f45fa7ff35eccf73980bd7afa.html.gz,HUMAN,0.22276917724464532
IL_2024_34c953662c2071a6ef9553c58977de49.html.gz,HUMAN,0.18836410176433235
IL_2024_3897069e2ca9007efafee02e0b01eb2d.html.gz,HUMAN,0.21299679377821207
IL_2024_37cfa43e2238d05f65697925f42e5227.html.gz,HUMAN,0.35862664722238174
IL_2024_36ec1fd9d442a730ee8fcf12fa4ca19d.html.gz,HUMAN,0.1938657823835699
IL_2024_38cb96293308060bdf7251cc89303e8c.html.gz,HUMAN,0.1993158094467669
IL_2024_3d3a31cd5a8dbfda80265ff33fbb3359.html.gz,HUMAN,0.19868811929890523
IL_2024_3cba78ba1dabae2b9e6ae98d1a900dac.html.gz,HUMAN,0.21767229876621103
IL_2024_3f3489745f5dadbbdbd8a987c9d3432c.html.gz,HUMAN,0.1950223918021033
IL_2024_3f0c8d3646cbc6e7695ea5bf1472f93c.html.gz,HUMAN,0.25859494840976815
IL_2024_3dc0def435d7d5b4d3bc94d6c62cc9e1.html.gz,HUMAN,0.19553036937224905
IL_2024_4048f9a9f02299f61a86e12e27e4a2be.html.gz,HUMAN,0.290116012761145
IL_2024_401310f406aa47a9424b22ffca53eb34.html.gz,HUMAN,0.29039652168163815
IL_2024_3f9b1121fedcaed1fcee68084ac9c01d.html.gz,HUMAN,0.2610980981386187
IL_2024_447ce5a01dce687eebb5c987c52816d0.html.gz,HUMAN,0.2195567031450455
IL_2024_4479a3435349bf143327e2b060ac53ed.html.gz,HUMAN,0.18858659163195934
IL_2024_45c982b46131ea232774bf7bc3ac1b0d.html.gz,HUMAN,0.37004073689052086
IL_2024_4cb22c92eb06e2d7583cea65cbaefe84.html.gz,HUMAN,0.25840928302740995
IL_2024_4668eae8be088be7d4be663f374d3b9e.html.gz,HUMAN,0.2592985695359767
