File,label,score
NC_2020_1cde2df33a4528a28d65d71a750d9286.html.gz,HUMAN,0.18829548436682358
NC_2020_294c691703878c718118bcd03530eae1.html.gz,HUMAN,0.24141654355222225
NC_2020_1075e9a7dd3ffea385a34d3e56a5b3ef.html.gz,HUMAN,0.2591787137382788
NC_2020_4892cdd6e6b3b9884a1fd6e6fcec494e.html.gz,HUMAN,0.3737136298445931
NC_2020_4a49a0427b6ac6e2ee7367ac1f894396.html.gz,HUMAN,0.19803230566207874
NC_2020_5855111659f4a4bb281df7bdf78dc8d4.html.gz,AI,0.5312077249468175
NC_2020_8270f70899f5620ac5d68a2ac6f7c8f2.html.gz,HUMAN,0.18796233792105338
NC_2020_7348bbfe46d383f713372ef15c6396ec.html.gz,AI,0.538558762382984
NC_2020_8569c824d8596d9ed925e673a3891271.html.gz,HUMAN,0.43566213306615703
NC_2020_61aec971500efe8303595ccd9503c12e.html.gz,HUMAN,0.21072658611270695
NC_2020_9f2584eedf89fa9957ee7a54258fe57d.html.gz,HUMAN,0.20011762460790009
NC_2020_dcbac704c9e8eebf18289c5a27a35574.html.gz,HUMAN,0.43858927780615803
