File,inputText
minnpost_2020_111,"From local coverage to the presidential race, .Thisstorywas produced byThe Hechinger Report,a nonprofit, independent news organization focused on inequality and innovation in education.Michelle Obama was once asked by People magazine what it was like to travel with Jill Biden on Air Force One.“Jill is … oftentimes she’s grading papers,” the former first lady answered. “Which is always funny, because I forget, ‘Oh yeah, you have a day job’… and she’s so diligent.”Grading those community college papers on Air Force One immersed Jill Biden in the dichotomy of the great American experiment, the inequality that permeates higher education. So, what will it mean to have a “first professor” as first lady in a new administrationA great deal. Jill Biden’s continuedcommitment to teachingis profoundly indicative of the quality of her approach to education. The best professors know that teaching is both an art and a science.Biden’s choice to teach community college students, who represent over 40 percent of all undergraduates in the U.S., is of particular significance. Unlike highly competitive selective colleges, where only 16 percent of students are from the bottom half of the economic strata, community collegeshave almost 60 percent from the bottom half.Teachers’ aspirations for their students’ achievements are balanced by the lives of the students in front of them. The best faculty combine personal teaching experience with research-based knowledge.This deep well of knowledge and experience will heighten the impact of a “first professor” in the White House, in this era of ever-widening income gaps between those with a college education and those without.Racial, ethnic and gender inequities have all been exacerbated by the impact of the pandemic. Before, many community college students wove together minimum-wage work with college, studying to be nurses and EMTs, retail managers and computer system technicians.Now, community colleges are hemorrhaging students whose jobs are gone, and whose families are eating from food banks or being evicted from their homes. Too many are struggling to keep up with online classes, using cell phones as their only digital devices.They are often focused on obtaining the skills necessary to secure near-term jobs to support themselves and their families, rather than to embark on stable, promising careers.Community colleges have been called “the people’s colleges.” Their students typically attend college in their hometowns, and over half work more than 20 hours each week, balancing school with the financial demands of making a living. Many are parents.To heal a divided nation, having a first lady telling the truth about the realities of their lives is a critical first step. To work with community college students is to encounter an America where the hope for opportunity is still strong, but the reality is slipping away.Stark funding disparitiesexist in higher education. In 2015, public subsidies, not including real estate tax exemptions, totaled $105,000 per full-time student atPrinceton University,and just $2,400 atEssex County College,the two-year school an hour up the highway.Jill Biden understands this. She’s written op-eds, given keynote addresses, saluted graduates, and honored scholars to underline the undeniable power of a great education to transform individual lives. Earlier this month, shepledged her supportfor free community colleges.And yet it is reading student essays from her English class that provides her deep understanding about resurrecting the promise of education as a pathway to economic security.She will know the names and faces of students who have lost minimum-wage jobs or dropped her class because they can no longer afford child care.She will understand the student who is the first in his family to go to college, amid derision from friends in his neighborhood about his stack of books. She will continue being a tireless advocate for education and education equity.She’ll be looking to strengthen pathways — and create new ones — to link education with economic prosperity, like theWorkforce Partnership Initiative of the Business Roundtable,with CEOS of leading businesses partnering with local colleges and universities to prepare students for a 21st-century workplace.She’shighlighted these programsat a time when community colleges across the country are working in new ways to create partnerships between education and business that are aimed at increasing the diversity of U.S. employees in stable, well-paying jobs.In New York, theNew York Jobs CEO Councilis bringing business, education and the community together to equip New Yorkers for the jobs of tomorrow, with a goal of hiring 100,000, including 25,000 from the City University of New York.Jill Biden understands using education as a strategic initiative to create and sustain a middle class, and that it will take, as political scientistRogers Smithwrites, “a broad coalition in support of a more egalitarian and inclusive vision of America.”That is the vision of a revitalized educational system that is possible with Jill Biden in the White House, someone who understands how community colleges can fit into this picture — and who is still grading her students’ papers.Gail Mellow is president emeritus of LaGuardia Community College of the City University of New York and executive director of the New York Jobs CEO Council."
suffolknewsherald_2020_191,"Published 6:00 pm Tuesday, October 27, 2020ByLetters to the EditorTo the editor:Netflix’s explosive new documentary “My Octopus Teacher” chronicles a complex relationship between a man and the world’s most bizarre animal — an octopus. It further testifies to our highly conflicted relationship with non-human animals and the natural world.Most of us treasure our “pets” — dogs, cats, horses. Our allegiance to them transcends that to our own species. Yet, we torment, kill and consume other animals that are similar in appearance, intelligence and ability to suffer.We pride ourselves on being intelligent, rational beings. We have gone to the Moon, unraveled and modified genetic codes, and found cures for deadly diseases. Yet we still have not figured out our relationship with non-human animals and the natural world.Some of us have. Vegans profess compassion and respect for all sentient beings. Veganism requires no special courses or certifications. Every one of us can become one on our next trip to our supermarket.Sonny NuesbaumSuffolkOn Saturday, September 7, 2024 at Kornblau Field at S.B. Ballard Stadium, the Old Dominion Monarchs will host…The MLB schedule today is not one to miss. The outings include the Los Angeles Dodgers squaring off…Corbin Burnes will toe the rubber for the Baltimore Orioles (79-59 on Monday, September 2 against the Chicago…Gunnar Henderson and the Baltimore Orioles will attempt to defeat Luis Robert and the Chicago White Sox when…Ezequiel Tovar and the Colorado Rockies take the field on Sunday at Coors Field against Cole Irvin, who…"
minnpost_2020_21,"From local coverage to the presidential race, .As the legislative and campaign seasons collide this year, the politics that are always part of the process have had an increasingly intrusive role in governing. Some of this is a consequence of the COVID-19 pandemic, and the need to call the Legislature back repeatedly. But this is also an unintended consequence of how our state-level legislative bodies are organized in Minnesota.During campaign season, partisanship, competition, and differing views of governance are appropriate – campaigns are contests, after all. In November voters will go to the polls and decide which candidates will win, but most important: who will control the State House and Senate.There are a lot of benefits in winning a majority, which is why the parties work so hard to achieve that goal. However, the infrastructure that encourages continued partisanship and division after the polls close is a problem. The Minnesota Legislature should take three steps to dismantle the structural partisanship that currently exists at the Capitol. How do we fix the gridlock In part, we fix the rules and traditions that create the “winner take all” system.First, integrate legislators’ offices. Currently offices are segregated by body and party. At the start of each biennium, offices are distributed based on seniority – the majority members pick within their space, and the minority within theirs. Instead of encouraging that separation, we need more opportunities for members to connect informally and build relationships – say hello in the hall, make small talk while waiting for the microwave, share photos of their kids. The floors and wings that are currently divided should be mixed up and offices be picked by seniority across the chamber, not solely within caucuses.Or, as a more extreme fix, at the start of the 2021 session, do a lottery for offices that will become the permanent home base for that district moving forward – even if the person holding the seat changes, the office location would stay the same.Second, it’s time to depoliticize the staff. Campaigning is about activism and winning. Legislating is about governing and coalition building. As long as the same people are doing jobs supporting both goals, with the opportunity to use one as a vehicle to advance the other, the culture at the Capitol isn’t going to get any better. Governing should not be about winning – or worse, obstructionism with the intent of denying the other side a win. Fiscal and legal staff are already nonpartisan, so reclassify committee administrators, legislative assistants, constituent services, and research to match.Third, reform the committees. Instead of having all committees chaired by members of the majority party, have them co-chaired by members of the majority and minority. This would mean the co-chairs trade holding the gavel and running the meetings — much as members of conference committees do — and would share the responsibility of determining which bills get hearings. Having co-chairs and a nonpartisan committee administrator would also ensure that any omnibus bills coming out of committee would be created with input from members of both parties. (This move in and of itself could drastically reduce the number of amendments being proposed from the floor. Much has been talked about how this year’s bonding bill has been held up by the minority in the House. From my perspective, I’m not surprised. The 60% supermajority is the only issue on the agenda this year that requires the minority caucus’ participation and approval to pass. When you give a caucus one place to participate, a chair at only one table so to speak, of course they’re going to use it. When you only have one card to play, you make it count.The only detriment in being in the minority party should be that you have to work harder to get members to vote for your ideas. But right now the structure in both chambers works against too many elected members and their constituents, just because they were elected to the minority.A pandemic situation can’t be changed. But the structural issues that add to the dysfunction can. Even casual observers of the “inside baseball” inner workings at the Capitol know that there’s way too much campaigning that’s conflicting with governing. Let’s fix the system. Let’s reform the infrastructure to support a focus on governing for the people of Minnesota, and minimize the campaigning at the Capitol.Shannon Watson serves as the director of public affairs at the Saint Paul Area Chamber of Commerce and is the founder of Definitely Someday. Watson worked on campaigns on both sides of the aisle for 20-plus years, as well as the National Conference of State Legislatures and the Minnesota Senate. She is a 2020-21 policy fellow at the Humphrey School of Public Affairs."
minnpost_2020_238,"From local coverage to the presidential race, .Minnesota is among the worst states in the country when it comes to racial disparities. Our state has the second largest racial income disparity in the country, and the Black poverty rate in the Twin Cities metro is four times higher than the white poverty rate. Our state’s racial disparities in high school graduation rates are the worst in the nation.These inequities did not occur randomly but are due to systemic racism. There’s been too little attention focused on the discouraging reality that the pandemic is compounding these disparities. The four ZIP codes in the metro with the highest COVID-19 rates have populations that are at least 45 percent people of color. This is not surprising because in the Twin Cities, BIPOC households disproportionately live in pollution hot spots. A recent Harvard study demonstrated that increases in pollution correlate with high infection rates for COVID-19. BIPOC workers also tend to work in industries that bring them in close contact with the virus.Any recovery effort must prioritize concrete and measurable investments in the communities most affected by the economic downturn. Given the lack of racial diversity in the construction and electric utility industries, and the historical tendency to prioritize expediency in crisis situations, any economic development ambitions of the PUC will not adequately benefit BIPOC Minnesotans without explicit and diligent intervention.The PUC asked Xcel and other utilities to provide lists of projects that would provide utility system benefits, reduce greenhouse gases and other air pollution, and grow jobs. The utilities will provide details on the first of these projects, those that can begin in 2021, by today, Sept. 15. If the PUC simply fast-tracks projects without adopting thoughtful, ambitious and specific criteria for where and how capital is dispensed, it will not support economic recovery for BIPOC communities but instead risks deepening existing racialized disparities.We must ensure that Minnesota’s most marginalized communities are not bypassed by an approach to economic development that ignores the history of BIPOC communities and our current needs in the economic downturn.Roxxanne O’Brien is the co-founder of Community Members for Environmental Justice. Kristel Porter is the executive director of MN Renewable NOW. Sam Grant is the executive director of MN350. This is written on behalf of 18 other community and climate justice groups."
hawaiitribune_herald_2020_56,"Tuesday, Sept. 03, 2024|Today s Paper|79.142°Recruit from afarRecruit from afarI read with a great deal of interest the Nov. 30 “Movers &Shakas” article.The COVID-19 pandemic has shown all of us how extremely and dangerously Hawaii’s economy is tourism-dependent.For months, we’ve been wringing our hands about how do we become less dependent upon one industry. On the mainland, employers and employees alike are shaking their heads at how easy the transition has been for people commuting from home to office every day and instead working from home.Zoom communications have almost replaced the need to have two cars in a household or a yearly pass on the commuter train. Plus, working from home is good for the environment.Hawaii’s leaders need to make a concerted effort to recruit more individuals and families to leave the mainland and settle in Hawaii. Also, Hawaii’s educated youth would have reasons to remain here, raise their families here, support the local economies, and not have to leave their parents.LeAnn McGranahanPapaaloaDowntown revitalizationRevitalizing downtown Hilo with an improvement district is a great idea.Taxing local residents to shop there with parking meters is a really bad idea. Can’t you do better than that?My personal story was I used to try very hard to patronize downtown businesses. Then I got a $20 parking ticket and never went back again.They got smart and took out the meters, but it was too late.There is a proposal to turn a small section of downtown Hilo into the first phase of a replacement for the International Marketplace in Waikiki. That tourist shopping niche was replaced by upscale shopping for the super rich.Putting small local kiosks on both sides of each businesses front door is innovative and could make it a must-go sightseeing adventure. Requiring local crafts and a part-time opening schedule to fit tour bus and cruise ships could employ hundreds of our kupuna.While being very creative, it’s not really thinking out-of-the-box. Visitors to Virginia City, Nevada, enjoy a replica gold-mining town. Visitors to Williamsburg, Virginia, can interact with the Civil War. There are dozens and dozens of examples. Let’s be one of them!They had to work to create their niche, but we have aloha, and our friendly, honest and wonderful people sell themselves!Face it, downtown improvement districts are across the entire country, and very few have the advantage that we do! Right now, we have the time to put everything in place before our 7.5 million annual visitors return. We need to be a desirable stop for the million visitors who visit the No. 1 rated national park in the country!Get to work.Michael Xavier MamczarzKurtistownMaunakeaMaunakea is an elemental part of the primordial universe, as Hawaiians know. She wore glaciers in the Ice Age, generations before people sailed to Hawaii.Certainly, there is a compromise between everyone having the miraculous big picture of the cosmos that only the tallest terrestrial mirror lens can attain at only one blessed spot on Earth, while indeed venerating the aloha spirit of bright, expansive new horizons for all of her keiki.Eliot GreenleafHilo"
minnpost_2020_146,"From local coverage to the presidential race, .In the wake of George Floyd’s tragic killing, Minnesotans are searching for answers and demanding change. As we mourn the loss of a neighbor, we also remember Jamar Clark, Philando Castile, and countless other black men and women across this country who have lost their lives to police violence.As protests and unrest rock our community, we must not only advocate for responses to this horrific incident, but also address larger questions: How will policymakers and lawyers lead the way for real systemic change How will our current and future leaders move beyond just thoughts and prayers alone Where do we, as individuals, standWith the weight of our institutional namesakes, our students, alumni, and all who entrust our schools to lead, we applaud those who have risen up to advocate for justice and to demand that more action be taken. For our Twin Cities community to thrive, we cannot remain silent or complacent in the face of such blatant injustice.As legal and public policy educators we insist on evidence-based decision-making and advocate for the rule of law. We, however, need no more evidence or jurisprudence to convince us that the death of George Floyd was unnecessary and wrong. It was a fundamental betrayal of the public trust. We fervently hope that the fatal, race-related violence against an unarmed African-American at the hands of the police will never happen again. Sadly, the facts suggest it will.Although this is a national problem, solutions must come from state and local communities. To be sure, the swift action by Mayor Jacob Frey and Police Chief Medaria Arradondo in terminating the four police officers most closely involved in the death of Floyd was an important first step. Then another critical step was taken when fired police officer Derek Chauvin was charged with third-degree murder and manslaughter by Hennepin County Attorney Mike Freeman. But, ultimately, we will all need to do more.Change often requires agitation and always requires hard work. All institutions must make the necessarystructural changes to confront racism and race-based violence, whether intentional or unconscious. Yes, more officers should be held to account for killing unarmed people of color, but we also need new legislation, new policies, new training, and fundamentally new organizational cultures to begin to fix what lies beneath and progress toward true justice.Over half a century ago Hubert Humphrey offered us wisdom that seems particularly resonant today:If there is dissatisfaction with the status quo, good. If there is ferment, so much the better. If there is restlessness, I am pleased. Then let there be ideas, and hard thought, and hard work.Despite the current pain and anger, we firmly believe that the path forward will require citizens to learn from each other and from experts, to talk honestly and openly, to listen with open minds, and, ultimately, to reshape existing policies, practices, and perspectives.Minnesotans must channel our outrage into action andinsist on a world in which safety and human rights are not dependent on one’s race or ethnicity.We commit and rededicate ourselves to preparing our next generation of legal and public policy practitioners who will challenge racist and dysfunctional systems and devote their professional lives to the pursuit of justice and civil rights forallof society.As Minnesota’s flagship law and public affairs schools, we will double down on our responsibility to serve and support the Twin Cities community — through our clinics, courses, internships, policy engagement, and scholarship. We need new voices and new partnerships, and we need them now.We are deans of two of the nation’s pre-eminent law schools and graduate schools of public affairs; a black man and a white woman. Both Minnesotans and both Minneapolitans. Both heartsick, but also both more determined than ever in our quest to ignite change and advance justice in our troubled community and nation.Garry W. Jenkinsis dean of the University of Minnesota Law School;Laura L. Bloombergis dean of the University of Minnesota Hubert H. Humphrey School of Public Affairs.The views expressed are their own."
suffolknewsherald_2020_92,"Published 11:09 pm Friday, June 12, 2020ByStaff ReportsBy Troy Cooper“I see you. I hear you. And I will fight for you.”Being in my 40s, I grew up in the ’90s. That was a time when the young black male was the most feared profile you could have in this world. Though I lived in a pretty rural area, got pretty good grades in school, and hadn’t really even seen hard drugs in my young life, I was seen by many as an urban, ignorant, violent threat.In college, I had those moments all young black men had. The proprietor of a store eyeballing you the whole time you patronized their store. People rolling up their windows when they saw you walking past their car. Even people crossing the street to avoid passing you in broad daylight. And you could never really tell if these incidents were actually racially motivated or if it just felt that way.As I got older, I developed a way of thinking about racism that has kept me in good stead, philosophically and emotionally. I chose to see racism as a disability. After all, a disability is something that prevents you from doing things and diminishes your quality of life. Being racist essentially means you choose to prevent yourself from getting to know people as individuals, by assuming certain characteristics are present in them, based purely on race. And limiting oneself in that way greatly diminishes the quality of a person’s life. Isn’t that a disability? So, I truly came to feel bad for people that were racist. They limit themselves needlessly.But even with my way of viewing racism, I still had to come to accept certain things about my reality. Racism will always exist. And it will always be just our cause to take up in life.But some 30 years later, I attended a small protest on College Drive in response to the tragic and needless death of George Floyd at the hands of a police officer in Minneapolis, Minn. As I shot photos among the still-assembling protesters, I saw a young woman — not of my race, mind you — spring from the sunroof of a car and yell out a common rallying cry during this crisis, “I see you. I hear you. And I will fight for you.” The words rang out pure and clear. They seemed to really resonate with me at that moment.In that moment, I couldn’t help but ask myself, would someone have spoken out so freely and assertively against racial injustice back in the ’90s? Given the climate at the time, I’m sad to say probably not. Our rage over injustice felt largely unnoticed back then.So if we’re trying to measure our progress as a society in ending racial injustice, I feel like eyes are opening. This isn’t just black people’s fight anymore. The black community is not going through this alone. People of all races are grabbing the yoke with us and plowing in the right direction. That makes the young black man in me feel less alone in the fight.In the end though, systems can be put into place with the best of intentions but, sadly, it is individuals that operate within it. And the reality is that there are individuals who still exist having been raised in the hidden and not-so-hidden fields of racism. And if racism is a disability, there is no test to detect it. The main problem with that is it goes undetected until it’s far too late and someone else dies.But, I find hope because I truly believe those fields that cultivate racism are significantly smaller than when I was younger. I want to believe that with every fiber of my being, for the sake of my nieces and all the generations to follow.It may be hard to see the good taking place right now. But the fact that more people from all walks of life are standing up for justice that previously kept silent or turned a blind eye and deaf ear are steps in the right direction. This plugged-in, social media-obsessed society does have the huge silver lining of bringing injustice right into everyone’s home and consciousness with irrefutable hi-def clarity. People witnessed nine undeniable minutes of George Floyd’s death. Nothing is left up to grainy, split-second interpretation.Racism can’t be completely stamped out. That’s just the world we live in. But racist actions can be deemed so unacceptable by the system and by all races, that the actions we all witnessed in Minnesota could actually be stamped out for good. That’s progress, isn’t it?Troy Cooper is a Suffolk resident, former News-Herald designer, and current designer of Suffolk Living Magazine. He’s also the husband of Editor Tracy Agnew.On Saturday, September 7, 2024 at Kornblau Field at S.B. Ballard Stadium, the Old Dominion Monarchs will host…The MLB schedule today is not one to miss. The outings include the Los Angeles Dodgers squaring off…Corbin Burnes will toe the rubber for the Baltimore Orioles (79-59 on Monday, September 2 against the Chicago…Gunnar Henderson and the Baltimore Orioles will attempt to defeat Luis Robert and the Chicago White Sox when…Ezequiel Tovar and the Colorado Rockies take the field on Sunday at Coors Field against Cole Irvin, who…"
minnpost_2020_99,"From local coverage to the presidential race, .As one who has spent years as a communications practitioner, including time as a speechwriter for a respected Clinton administration Cabinet secretary, I was delighted to see that Joe Biden has become the first president-elect to name (highly qualified women to all of his communications leadership posts.This makes sense on lots of fronts,including the fact that although women hold a majority of jobs in the public relations/communications field, comparatively few females are found in the very top levels in the industry.No matter if the organization is the White House or a family-run store.But what nagged at me was some of the social media commentary that followed the appointments, commentary in the vein of, “Well, things are going to be a whole, whole lot shinier, happier and professional on the White House communications front now that women will be calling all the shots.”Which, to be fair, just might be true. We know thatscience has established a number of areas where women can out-perform men, including scoring on intelligence tests, dealing with pain and reining in narcissistic tendencies.All of Biden’s appointees (including Jen Psaki, incoming White House press secretary and a former State Department press secretary enjoy good reputations among journalists as well as political operatives. Then again, it might not be that all of the White House communications offices will be models of complete humanity and efficiency under all-female leadership. Remember that three of President Trump’s four press secretaries have been women. Appraisals of their qualifications and work by journalists, communications professionals and a large portion of the American public have been anything but positive.And while it doesn’t require explanation that women need to be much better represented in a good many professions and trades, I don’t think it helps women if they are only considered saviors from the realms of the gods, here to kick serious ass and achieve nothing but tremendous, history-making deeds. Such thinking is nearly as damaging as believing that any woman who gets a great job in a male-dominated field either must have slept her way there or had an influential parent call favors in, as opposed to getting the position through hard work, possible sacrifice and traversing maddening gender hurdles.At times like this, especially when people worldwide are excited that the United States will at last have a woman vice president (as well as treasury secretary , it might be wise to think aboutthat ad from the 1980s, the one that showed an immaculately coiffed woman with nearly superhuman qualities,able to work long hours at an executive job and still come home to cook the bacon and “never let her man forget he’s a man.” I’m one who still hopes we’ll one day get beyond expecting so much of all women.These women suffered as a result, with some of the suffering self-inflicted, and some foisted upon them by a system that remains far from gender neutral in administering employment justice. Sarah Palin, who was named John McCain’s running mate in 2008 when she only had served as Alaska’s governor for about 19 months, is one of the most notorious of these examples.McCain later said he regretted the Palin choice for a number of reasons,including the fact that she just wasn’t qualified for such a role.Kim Campbell, who served as Canada’s first female prime minister for five months in 1993, was once thought a brilliant star with supernova capabilities in Canadian politics. Her tenure was marked by some accomplishments and some troubles that many have said were not all her fault. Still,there is wide consensus that she was one of the weakest of Canada’s prime ministers.So, while I wish Biden’s female appointees success, I won’t expect every one of them to turn Washington into a Capital Lotusland. It would be wonderful if they don’t experience the unfair difficulties that have plagued other women who were first or near-first in their fields. And I’m hoping that all of them prove true these words from Eleanor Roosevelt: “A woman is like a tea bag. You never know how strong it is until it’s in hot water.”MaryStanik, a writer and public-relations professional, recently moved from St. Paul to Arizona. She is the author of the novel “Life Erupted,” and served as a speechwriter for former U.S. Secretary of Education Richard W. Riley between 1999 and 2001."
eugeneweekly_2020_27,"We ve got issues. The University of Oregon is on the verge of losing one of its only professors who studies race and the criminal justice system within a social justice framework. Ironically, this is happening at a historic moment of national crisis, where anti-Black violence is not only rampant but newly visible, where multi-racial coalitions all across the nation are demanding justice, and where leading scholar-activists have an enormous role to play in helping us understand a way forward. Professor Michael Hames-García is a national leader in the study of race, incarceration and policing. He has been teaching and institution building at the UO since 2005, and he has earned two of the UO’s most prestigious research and teaching excellence awards. Currently, he is being recruited by another esteemed university, but the UO administration has decided they will not match Hames-Garcia’s outside offer. They claim this is because of the budgetary crisis. Yet, we see where their financial priorities rest: an unnecessary police force, million-dollar jumbotrons, massive stadiums, a president’s exorbitant salary and publicly-funded assets (including his housing and transportation and new residence halls. If the UO administration is truly invested in racial justice, when might we expect this value to match their practices? Might the active retention of a leading scholar of race, incarceration and policing — at this historical moment — be a good start? The UO Makes Excuses and Undermines Activist Scholars of Color We often hear white faculty and administrators at the UO say that the UO can’t recruit and retain top ranking faculty of color because they don’t want to live in Oregon. The irony of this statement is that Oregon is Hames-García’s home. This is where he grew up, this is where his extended family currently lives, and this is where he would continue to maintain his active commitments to community development. He will be forced to split his time between a job in one state and his life’s work in another precisely because the UO administration refuses to admit that its commitments to racial justice, at this historical moment, remain thin. They are rhetorical gestures that allow the administration to claim to value racial justice at the same time that they actively undermine justice in practice. Hames-García’s case is an example of how “the academy” does not necessarily have to be considered an ivory tower apart from “the street.” In direct connection with social justice movements around the world, Hames-García has invested decades of teaching, research and service, working to better understand and transform the criminal justice system in the very place he lives. He continues to serve on the Eugene Police Civilian Review Board in addition to past and current work with Sponsors Transitional Home and Social Services, Oregon State Correctional Institution at Salem, and a long list of community, labor and student activist groups committed to social justice. He is a community leader and major force for transformative change here in Oregon. Some of us have been at the UO for decades. Our perspective is informed by previous moments where the “revolving door” for faculty of color at the UO resulted in an endless stream of departures. For a brief period, from 2008 to 2016, we built a strong body of faculty of color through strategic recruitment and retention efforts. In 2016, the UO lost a Black woman tenure-track faculty member who actually took a salary cut to join another university rather than endure the racist indignities in her department. In the past few years we have seen another exodus of Black faculty from the UO, including the only Black woman full professor in the College of Arts and Sciences. We have also seen faculty of color consistently diminished, used as tokens, then removed when they don’t meet the administration’s goals for either optics or compliance to meaningless program building. Black women faculty on this campus are expected to toe the university line of racial harmony, and when they speak out, they pay dearly and often publicly. In 2002, the university signed a racial discrimination settlement, known as the Joe Wade settlement agreement, that established a number of affirmative action requirements, among them a promise to conduct exit interviews of all faculty and staff of color leaving the UO. To this date, those exit interviews do not happen. Many faculty of color have left in just the past five years, so many that we have lost count, and we have yet to see university accountability measures that take stock of why these faculty left and what their experiences were. Faculty of color have nowhere to go with complaints of racial bias, hostility or discrimination. We used to have an Office of Affirmative Action and Equal Opportunity. At a time when a large group of faculty of color reported a systematic experience of racialized harm by a white dean, the university fired the affirmative action officer overseeing the complaints. Notably, that officer was the only woman of color to ever hold that position. She also happened to have made comments that sounded supportive of the faculty union. Once fired, faculty of color were diverted to a newly restructured system of “Investigations and Civil Rights Compliance,” which was overseen by a hand-picked former UO law school graduate. Does any of this sound familiar? Show, Don’t Tell: Support and Retain Social Justice Scholars at the UO The UO administration is hand-picked with people who refuse to implement meaningful change, and the voices of faculty of color continue to be minimized. The College of Arts and Sciences dean’s office has only been led by white men and women. In at least the past 20 years, there have been zero deans of color at any rank, and almost no staff of color in the CAS administration office. Hames-García has certainly used his voice and First Amendment right to raise criticisms of the UO administration. He has also been instrumental in creating an intellectual and supportive community for the faculty of color who have remained here. This cadre of faculty of color are on the front lines, educating students about systematic racism and validating and supporting students of color to help them thrive despite the challenges they endure at a predominantly white university. Hames-García’s departure will leave a gaping hole in the faculty of color community, and the community of color more broadly. We urge the UO administration to, as the saying goes, put its money where its mouth is. We have had enough lip service, with a thousand empty proclamations of support without willingness to step up when the moment calls for it. In a time when it has become clear that our racist criminal justice system is as grave a threat to our nation as COVID-19, it is unconscionable to let a leading specialist on this topic depart the university. He is a resource that all UO students and our state desperately need. We call upon President Michael Schill and the Provost Patrick Phillips to do the work this moment calls for: Retain Professor Michael Hames-García. Show us, don’t just tell us, that the UO is committed to racial justice. Charise Cheney, Lynn Fujiwara, Brian Klopotek, Sharon Luk and Ernesto Martínez are associate professors in the UO Department of Indigenous, Race, and Ethnic Studies."
minnpost_2020_4,"From local coverage to the presidential race, .The latest Bureau of Labor Statistics jobs figures are both sobering and explanatory. Officially, 13 percent of Blacks were unemployed as compared to 7 percent of whites. Twenty-five percent of Black teenagers as compared to 14 percent whites.A few weeks ago a problem waiting to happen actually did. Until Aug. 26, 2020, Minneapolis had escaped what many major U.S. cities had not until then — the trashing or a partial trashing of its high rent district. Rebellions, riots, looting and vandalism going back to the 1960s had never taken place downtown. But any observant and knowledgeable downtown resident could see it coming. Exactly the day before I thought, maybe, it could be avoided. A larger Mad Dads contingent, a Black civilian law-and-order operation, in front of the U.S. Bank building on Nicollet Mall gave cause for a bit of optimism; less provocative than the police.For more than a month growing numbers of young Black people were hanging out on the Mall, first in front of Dayton’s. About two weeks later they migrated a block away to the US Bank sidewalk, which is more accommodating to larger groups. So striking about them is that they were there because they had nothing to do — nothing. It was all so evident. If Minnesota has one of the highest racial disparities in the U.S., I suspect Black teenage unemployment is even higher than the national rate.I arrived at Ninth Street and Nicollet Mall about 20 minutes after the tragic suicide in front of the U.S. Bank building between Ninth and Eighth. Yellow police tape confined crowds a block away on both sides of the suicide scene. Some in the crowd I was in, in front of the Target store, began to get rowdy as rumors spread amongst their so-called “smart phones” alleging another police killing of a Black man — the suicide victim. When the police regrouped to protect the store’s entrance, that only increased tensions. Water bottles began to fly, then firecrackers. I sought refuge, not knowing if I could tell the difference between firecrackers and gunfire. As the crowd moved northward on Nicollet Mall, I decided to leave. Less than an hour later at home four blocks away, I began to get messages about what was taking place and saw the TV images I had feared.As an eyewitness to what began to unfold and a four-decade-old participant in anti-police brutality protests, I assuredly say that the looting and vandalism — and that’s solely what it was — had nothing to do in any way with protests against police brutality. It was a mini-rebellion of the alienated dispossessed. There was nothing inherently progressive about it. To claim so — as the person who spray painted “keep looting” on the bus stop panel in front of Saks Off Fifth — is to lower the bar for what disciplined mass anti-police brutality protests mean.Local ruling elites thought that they could confine the unemployment problem to majority Black neighborhoods like the north side and elsewhere. Bad behavior could be ignored as long as it wasn’t in “my backyard.” Increasingly, Black youth, like others, sought to come up for air in the pandemic — from having been confined to spaces where they could be forgotten about. A few blocks in the now desolated downtown became their playground — to challenge the state sanctioned “social distancing.” If a crowd could do the same in downtown Sturgis, S.D., why not closer to homeTo view what happened simply through a racial lens is easy because it doesn’t address the more difficult problem. The Rev. Martin Luther King Jr. is quoted these days about looting, “the cry of the unheard.” Forgotten and ignored is something else he said, repeatedly in the last year of his life. Reflecting back on the legislative gains of the movement he led, and what those hard-won achievements had not brought about, birthed an epiphany: for there to be racial equality in the U.S., he concluded, “a radical redistribution of economic and political power” was needed. Again, not a one-off comment.We’ll never know if the civil rights leader fully understood what that meant. But is there any doubt about the continuing validity of his insight Does anyone believe the jobs crisis that disproportionately penalizes workers in black skin will be solved with anything less than such a radical transformation of society It’s the discussion ruling elites and their governing enablers avoid. Not to even mention another very visible and related phenomenon on Nicollet Mall — the disproportionate number of the homeless who are Black. And the eviction crisis is just beginning.A kind of whack-a-mole game is now playing itself out on the block where the suicide took place, between the Mad Dads in collaboration with the police, and the unemployed youth. The latter are trying, inch by inch, to reoccupy the space they appropriated for themselves while the two other parties are trying, Minnesota-nice-like, to disperse them. How successful either party will be is up for grabs. But to assume that something like what happened on Aug. 26 won’t happen again, if not there, then elsewhere, is to be in deep denial.August H. Nimtz Jr. is a professor of political science and African American and African Studies and Distinguished Teaching Professor, University of Minnesota."
