article,author,sub_sentences
state_press_opinion_2021_result_20,ai,"As Maricopa County's ballotaudit continues, conspiracy theories of an unfair election are being fueled.Arizonais not only lowering voter trust, and potentially affecting outcomes for future elections by doing this, but they are also encouraging other states to follow in their footsteps, to lead these biased audits taking place due to unfounded worries. The audit began on April 23 after the Arizona Senate was granted custody of Maricopa County's 2.1 million ballots to search for any trace of fraud. One could argue that these complaints are connected to the ""Stop the Steal"" movement, which promotes a conspiracy theory that argues the election was somehow fraudulent. This theory continues to be believed by some, even though the ballots were counted multiple times. The mostextreme membersof the conservative party, including groups like the Proud Boys, have voiced support, hoping the audit could help turn Arizona's 11 electoral votes from President Joe Biden to former President Donald Trump. The audit is being done by the private Florida-based technology companyCyber Ninjas, which has received backlash the past few months for its credibility since it has never conducted an audit. Even some Republicans, including ASU College Republicans President Joe Pitts, said there areissueswith how the audit is being handled. ""I think there are genuine questions about the validity of the election that can't be pushed to the side,"" said Pitts, a junior studying management."
stanforddaily_opinion_2020_result_206,ai,"Living in a quarantined household offers no reprieve from the daily aggressions and microaggressions that students may face from their families. Dealing with these aggressions can feel even more draining when cut off from chosen families and supportive communities that campus provided. Being back in a space that's invalidating, without the supportive connection of friends, can make folks feel trapped, hopeless, helpless and isolated. Even for those who are out to their families, it can be challenging to navigate family and cultural dynamics. Well-meaning family members may still need ongoing explanations on why pronouns are important, reminders to use appropriate names and words, and rationalizations of choices from hairstyles to clothing to food choices. These could also come up against family expectations, cultural values and spiritual beliefs. This continuous education and defense can be exhausting and take up a lot of emotional and mental space, leaving little left over for things like class, staying active and talking with friends. For some in the queer community, going home is not an option exactly because of these challenges and others more severe. Some folks have been able to stay on campus, but at a cost. Though still connected to shelter and resources, campus is a ghost town and the communities that felt like family are scattered across the world. How do you pay for meal plans if a huge amount of jobs and opportunities have been canceled?"
state_press_opinion_2022_result_47,ai,"Despite experts emphasizing the importance of water in Arizona, politicians cast the topic aside in favor of other policies. Arizona is facing its worst drought in 1,200 years, but the state's water crisis isn't receiving the urgent political coverage and care it deserves. After water levels in Lake Mead reached a historic low, the Bureau of Reclamation announced that it wouldcut Arizona's river allotmentby 21 percent, increasing water loss by 80,000 acre-feet from 2022. Astudypublished in February notes that these extreme drought conditions will likely persist through 2023, with human-induced climate change single-handedly putting the Southwest on a megadrought trajectory. Although Arizona has implemented manywater conservation efforts, it still needs policy reform and attention. ""We need innovative new approaches,"" said Rhett Larson, the Richard Morrison Professor of Water Law at Sandra Day O'Connor College of Law. ""The shortage at this point is so serious that whatever we've been doing in the past is not good enough going forward."" Larson mentioned that permanent conservation measures such as using low-flow toilets and showers and removing decorative turf “will only get us so far” in the fight to preserve Arizona's water supply. ""The vast majority of the water is used by agriculture, so even if the cities and houses made all of these fixes, it wouldn't be enough,"" Larson said. Additionally, not all parts of Arizona manage water equally - a concern that Kathryn Sorensen, the director of research at the Kyl Center for Water Policy, elaborated on. ""We have really strong, really progressive water management in central Arizona, but those rules don't apply statewide,"" Sorensen said. ""It would be nice if rural communities had some additional tools that enabled them to better manage groundwater."" On the topic of water receiving minimal political coverage, Sorensen and Larson offered several perspectives. ""Water issues don't tend to capture public interest unless there's a crisis,"" Sorensen said."
wildcat_arizona_opinion_2022_result_29,ai,"The online community that supports students' mental health is larger than you may think. Counselors and clinicians at the University of Arizona are committed to bringing this community to the student body on campus. Life has increasingly moved online post-pandemic, and this move has generated virtual means to effectively address mental health, changing the landscape of health support for the benefit of students. Student services have expanded to includeTogetherall, a newly adopted resource within UA Campus Health's Counseling & Psych Services. Togetherall has recently emerged as an innovator and leader for improving mental health, and they're doing it remotely. It provides a safe, anonymous space to connect and converse with others who seek similar support, a sense of community and improvement of their mental health. Monitored by licensed clinicians who provide instantaneous responses with full-time access, the platform has been a reference point for many health representatives at the University of Arizona for its reputation of effectiveness. The Assistant Director of Counseling & Psych Services at Campus Health, Debra Cox-Howard, was instrumental in bringing the online community, Togetherall, to campus. While Togetherall is not directly affiliated with the UA, the efforts of Cox-Howard and others have advocated for its expansion onto campus. Its recent addition as a mental health resource will help educate faculty and diversify its portfolio on treatment options when it comes to properly assisting students. Among the many online services offered by CAPS, Cox-Howard emphasized the importance of Togetherall. When asked about the program she said, “they do a very good job of linking back to our website where you can find self-help information and other resources that are available to you as a student on this campus.” Togetherall aligns with the student-driven approach that CAPS takes to ensure a healthy academic experience. Their approach to online services creates convenience and time efficiency for students, as the choice to support a fully online platform was intentional and due to the impact of the pandemic on student life. Many students continue to learn remotely, and health professionals like Cox-Howard strive to meet students where they are. Students have given feedback that Togetherall helped them feel less isolated in the midst of the pandemic."
ubyssey_opinion_2020_result_1,ai,"At this point in the semester, you'd be hard-pressed to find someone who isn't feeling burnt out by the conditions of online learning. Both students and faculty have struggled greatly to adjust to virtual classrooms, heavy screen time and business-as-usual expectations within the midst of a global pandemic. As students, it can be hard at times to sympathize with faculty. This is especially true when we experience instructors who directly contribute to our feelings of powerlessness and marginalization within the institution. However, in the time of COVID, it is critical to realize that these cyclical harms will continue until we understand that the under-resourcing and over-extension of faculty is fundamentally a student issue. Faculty burnout isn't just anecdotal ᅳ we have real evidence of increased workloads and stress levels. At the Board of Governors meeting, we learned through thetenure track faculty COVID-19 surveythat faculty are experiencing substantial increases in teaching and service workloads, as well as caregiving responsibilities. 73 per cent of faculty respondents also reported that stress, anxiety and sadness have reduced their ability to work through the pandemic. We also learned recently that insurance claims for anti-depressants for faculty and staff haveincreased by 15 per centwithin this pandemic. These rates could easily be attributed to simply existing in a pandemic and fielding endless requests for academic concessions from students in distress, but it's most certainly exacerbated by individual teaching loads currently at145-150 per cent of standardfor tenure-track and non-tenure-track faculty. Recent examples of university 'support' for faculty ᅳ like thehurried announcement and submission deadline for a long-overdue $400 desk/chair reimbursementorthe insinuation that the employee & family assistance program is a main source of supportᅳ demonstrate that it has been trying to reach a comically low bar. What these findings don't tell us is the ways that these conditions and stressors have manifested in the classroom for students. Student social media platforms, like the UBC subreddit, are full of screenshots of harsh emails, complaints about unreachable professors and untimely assessment feedback. With the information we have about the conditions faculty are working within, this should hardly be shocking. We need to move beyond interpreting faculty short fuses and shortcomings as a personal offence and understand it as what it truly is: an unavoidable human response to structural squeezing and exploitation of labour."
rice_thresher_opinion_2022_result_15,ai,"That's so cool!” Athletics doesn't grasp what would be ruined by excising this instrumentation. Alumni and community members are excluded, purportedly because it would be too complicated to pay them, but this easily remedied obstacle is a poor excuse. To Kaitlyn, a clarinetist, the MOB has been an accessible alternative to the traditional college marching band experience ᅳ a way to unwind a few times a week with friends, and without the pressure of mandatory rehearsals or games. Rice students are perpetually busy, because even outside of heavy course loads, so many of us devote our free time to more than just one passion. In the fifty years since Rice's marching band was reborn as the MOB, it has scattered instead of marched, and welcomed members regardless of their musical prowess or ability to show up consistently. This structure acknowledges the reality of life at Rice, and for decades has given Rice a more comprehensive band than it may have had otherwise. We're skeptical that the Owl Pep Band can fill its roster from the talent pool to which it's restricted. MOBsters devote countless hours throughout basketball season because they get to do it with their friends amid an invigorating atmosphere. The offer of money can't get students to audition and commit to 30 games in that same way. Ryan would have conducted the BOB as its drum minor but is eligible to audition for the new pep band as a trombonist. To him, being stripped of such a privilege while being asked to join this new band is insulting. The stated motivations behind this band don't come close to justifying the disregard and ungratefulness shown to so many MOBsters, who sacrificed their time for no compensation. Rather than lend the MOB a modicum of support, Athletics would demolish a vibrant instance of campus life and spend thousands of dollars per week on a substitute with embarrassingly little thought put into it. We doubt throwing money in such a manner at what is ultimately a sideshow attraction will earn them back that investment. This decision disturbingly echoesRice's sale of KTRUin 2010, which also happened without consulting its members. Both undermine student autonomy and Rice's connection to its alumni and wider community."
newuniversity_california_irvine_opinion_2020_result_35,ai,"In recent years, the consequences of climate change have become a looming threat to the lives of communities across the world. This rising concern about climate change has led to the creation of terms such as “eco anxiety” and even aglossaryto address the range of emotional and psychological responses to ecological disturbances. The prevalence of climate catastrophes and ecological disasters has specifically affected members of theGen-Zcohort, especially those from marginalized backgrounds, such as women of color. Jamie Margolin, the 17-year-old founder of a youth climate activist group calledZero Hour, said in an interview withBustlethat this anxiety also stems from conflicting narratives youth are given by their society. That is why it is becoming more necessary for individuals to craft their own narratives of environmental awareness and activism ᅳ ones that precede narratives of fear and helplessness. There is no doubt that our communities are developing a keener environmental awareness. In order to combat this gradually overwhelming sense of helplessness in the face of these environmental issues, students at UCI share the ways in which they channel their frustration and concern into powerful change with the help of sustainability resources and spaces on campus. The Sustainability Resource Center, orSRC, is a physical hub on campus that provides educational resources and programming to help cultivate an environmentally conscious campus. One element of the SRC that makes it such a unique program is that it is run by a student and staff team who co-create events to engage both the campus and surrounding Irvine community. Students, campus partners and community members are free to visit the SRC to find leadership opportunities in the realm of sustainability. Programs such as theCosta Rica Program,On-Campus Sustainability themed housesand EarthReps training program are some notable examples of programs supported by the SRC."
ubyssey_opinion_2020_result_19,ai,"They include parents with children, who may now have to complete the task of double homeschooling. They include students who are working to support their parents or extended families. They include international students whose routes home may beblockeddue to financial, safety or policy constraints. They include graduate students whose research work and methods of income may now be stalled as universities like UBCcurtail most on-campus research activities. They include part-time essential service workers in grocery and food service industries. While there is aid available to all UBC students, including international students, who are in immediate risk through the university, the support does not account for the wide range of students affected. There is a need to recognize the diversity of post-secondary institutions across Canada. As many individual universities are offering their own emergency funding and financial aid programs, UBC has also launched its ownfundraising campaignsᅳ with thePresident's Student Emergency Fundon the Vancouver campus and theA.W. Hunt, QC Student Emergency Assistance Fundin Okanagan ᅳ appealing to its donors and alumni networks. But it shouldn't be completely up to individual schools to try and ensure their students can come back in the fall. With its expansive alumni network and a large operating budget, UBC might be able to pull in massive support, but there are many smaller schools across the country that do not have those same resources. Where can these students then turn to, if the federal government is also failing them?"
Crimson_2022_extracted_articles_result_51,ai,"From papers to presentations, our assignments require extensive research and careful analysis. But what if there was a tool that could help us with these tasks and make the learning experience even better? Enter ChatGPT, the helpful (and maybe even self-aware) language model trained by OpenAI. With its ability to generate human-like text based on a prompt, ChatGPT can be a valuable asset for any type of written work. In fact, this very op-ed was written with the help of ChatGPT! Using ChatGPT for written assignments does not mean that students are taking shortcuts or avoiding the hard work of learning. In fact, it can help students develop their writing skills and deepen their understanding of the subject matter. By providing suggestions and ideas, ChatGPT can serve as a virtual writing coach, guiding students as they craft their own original work."
rice_thresher_opinion_2020_result_3,ai,"However, many - including Texas Senator John Cornyn and South Carolina Senator Lindsey Graham - still state that Biden should begranted access to intelligence briefings. Trump's General Services Administration head, Emily Murphy, is alsorefusing to acknowledgePresident-elect Biden's victory, denying him access to the federal funding and security briefings necessary to begin his transition process. The president has made ahabit of surrounding himself with sycophants, and his appointees are now doing whatever they can to prove their loyalty. The president-elect's team is making efforts to move on regardless and announced a COVID-19 task force on Monday, Nov. 9. Even so, sources close to the transition warn that if the delay in the process continues, itcould become problematic. The president wins on the back of its electorate, but a president is often only as effective as his Congress will allow him to be. These races are particularly critical, and the outcome of the Senate and House will determine Biden's ability to make full use of his power these next two years; your vote may be needed to shift that balance of power in the 2022 midterms. While the results have been certified by multiple news sources there are still a few events that need to occur before Joe Biden is officially the new president, as well as before our new government can be installed.You can keep up with new developments in the election here.Staying informed about the events that are coming up, like the seating of Congress and certification of election results, helps ensure not only that the democracy the United States has been built on not only stays intact, but the politicians who are elected to serve are accurately representing our nation as well."
